opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence,opponent_id,year,school_id
Concordia (TX),11/19/2005,116,78,Home,,,2456,24400,2006,26172
Texas A&M Int'l,11/21/2005,116,58,Home,,,1903,,2006,26172
Tulsa,11/26/2005,67,73,Away,,,5543,719,2006,26172
UTSA,11/30/2005,77,59,Away,,,1524,706,2006,26172
South Fla.,12/02/2005,59,47,Neutral,"Springfield, MO",,6115,651,2006,26172
Missouri St.,12/03/2005,75,95,Away,,,6441,669,2006,26172
Trinity (TX),12/06/2005,86,62,Home,,,1707,715,2006,26172
Missouri,12/10/2005,81,82,Away,,,6850,434,2006,26172
UC Davis,12/17/2005,64,53,Neutral,"Moraga, CA",,1320,108,2006,26172
St. Mary's (CA),12/18/2005,67,69,Away,,,1380,610,2006,26172
TCU,12/22/2005,55,49,Away,,,3602,698,2006,26172
Savannah St.,12/29/2005,90,45,Home,,,1794,632,2006,26172
James Madison,12/30/2005,93,52,Home,,,2020,317,2006,26172
UTSA,01/02/2006,91,83,Home,,1 OT,1872,706,2006,26172
Maryland,01/04/2006,73,99,Away,,,17950,392,2006,26172
Houston,01/07/2006,83,86,Away,,2 OT,4358,288,2006,26172
Prairie View,01/09/2006,105,77,Home,,,1789,553,2006,26172
Northern Colo.,01/16/2006,99,56,Home,,,2182,502,2006,26172
IPFW,01/19/2006,77,71,Home,,,1679,308,2006,26172
Utah Valley,01/26/2006,64,69,Away,,,585,30024,2006,26172
Northern Colo.,01/28/2006,72,66,Away,,,931,502,2006,26172
Longwood,02/04/2006,92,64,Home,,,2603,363,2006,26172
Houston,02/07/2006,74,82,Home,,,2550,288,2006,26172
Utah Valley,02/11/2006,75,64,Home,,,2504,30024,2006,26172
IPFW,02/15/2006,79,64,Away,,,3168,308,2006,26172
Tex.-Pan American,02/20/2006,74,55,Away,,,1450,536,2006,26172
Huston-Tillotson,02/22/2006,110,59,Home,,,1934,,2006,26172
Tex.-Pan American,02/27/2006,93,69,Home,,,2224,536,2006,26172
Huston-Tillotson,11/15/2005,82,69,Home,,,750,,2006,2
Northeastern St.,11/18/2005,65,67,Neutral,"Arkadelphia, AR",,653,12810,2006,2
Ouachita Baptist,11/19/2005,64,81,Away,,,658,1289,2006,2
St. Edward's,11/30/2005,64,66,Away,,,210,1334,2006,2
Tex. A&M-Commerce,12/03/2005,62,78,Away,,,478,199,2006,2
Central Okla.,12/08/2005,63,72,Home,,,100,1009,2006,2
Northeastern St.,12/10/2005,57,60,Home,,,150,12810,2006,2
Grace (NE),12/16/2005,88,32,Home,,,120,,2006,2
Grace (NE),12/18/2005,98,37,Home,,,150,,2006,2
Angelo St.,12/22/2005,90,85,Home,,,1000,25,2006,2
St. Mary's (TX),12/28/2005,50,63,Home,,,250,1346,2006,2
St. Edward's,01/02/2006,78,81,Home,,1 OT,450,1334,2006,2
East Central,01/05/2006,52,70,Away,,,500,8965,2006,2
Southeastern Okla.,01/07/2006,57,88,Away,,,100,1371,2006,2
Angelo St.,01/10/2006,76,70,Away,,1 OT,2300,25,2006,2
Southwestern Okla.,01/12/2006,97,83,Home,,,700,8744,2006,2
Cameron,01/14/2006,80,77,Home,,,1000,996,2006,2
West Tex. A&M,01/17/2006,55,65,Home,,,2100,767,2006,2
Eastern N.M.,01/21/2006,82,73,Home,,,1200,206,2006,2
Tex. A&M-Kingsville,01/26/2006,67,79,Away,,,589,696,2006,2
Tarleton St.,01/31/2006,61,67,Home,,,2000,1395,2006,2
Midwestern St.,02/04/2006,65,85,Away,,,1474,1222,2006,2
Tarleton St.,02/09/2006,59,91,Away,,,2438,1395,2006,2
Midwestern St.,02/11/2006,72,84,Home,,,1000,1222,2006,2
West Tex. A&M,02/14/2006,73,87,Away,,,1250,767,2006,2
Eastern N.M.,02/18/2006,64,70,Away,,,735,206,2006,2
Tex. A&M-Kingsville,02/23/2006,78,86,Home,,,1000,696,2006,2
Lubbock Chrst.,11/19/2005,60,47,Home,,,928,,2006,929
Eastern N.M.,11/26/2005,57,69,Away,,,300,206,2006,929
Grand Canyon,12/02/2005,61,72,Neutral,"Durango, CO",,213,1104,2006,929
