school_id,opponent_id,opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence
26172,12810,Northeastern St.,11/13/2010,81,74,Home,,,964
26172,697,Texas A&M,11/15/2010,65,86,Home,,,6071
26172,521,Oklahoma St.,11/17/2010,58,68,Away,,,9634
26172,519,Ohio,11/21/2010,70,83,Away,,,4142
26172,328,Kansas,11/23/2010,41,82,Away,,,16300
26172,61,Bethune-Cookman,11/26/2010,69,65,Neutral,"Las Vegas, NV",,4010
26172,735,Valparaiso,11/27/2010,62,68,Neutral,"Las Vegas, NV",,5120
26172,1334,St. Edward's,12/01/2010,77,56,Home,,,819
26172,387,Marquette,12/07/2010,50,86,Away,,,13505
26172,288,Houston,12/18/2010,81,78,Home,,1 OT,2022
26172,404,Memphis,12/20/2010,63,68,Away,,,16187
26172,254,Georgia St.,12/29/2010,42,72,Neutral,"Chattanooga, TN",,2768
26172,,Montreat,12/30/2010,84,77,Neutral,"Chattanooga, TN",,2768
26172,700,Texas Tech,01/02/2011,55,70,Away,,,6431
26172,402,McNeese St.,01/08/2011,49,72,Away,,,504
26172,706,UTSA,01/12/2011,47,55,Home,,,1065
26172,655,Southeastern La.,01/15/2011,62,59,Home,,,1111
26172,702,Texas-Arlington,01/19/2011,49,70,Away,,,850
26172,624,Sam Houston St.,01/22/2011,70,68,Home,,,1008
26172,670,Texas St.,01/26/2011,62,73,Away,,,2728
26172,676,Stephen F. Austin,01/29/2011,46,45,Away,,,2985
26172,483,Nicholls St.,02/02/2011,52,72,Home,,,1063
26172,508,Northwestern St.,02/05/2011,66,72,Home,,,1528
26172,632,Savannah St.,02/07/2011,57,63,Home,,1 OT,722
26172,624,Sam Houston St.,02/12/2011,67,75,Away,,,970
26172,670,Texas St.,02/15/2011,61,66,Home,,,1268
26172,346,Lamar,02/19/2011,56,73,Away,,,3843
26172,706,UTSA,02/23/2011,62,71,Away,,,1151
26172,676,Stephen F. Austin,02/27/2011,68,75,Home,,,958
26172,702,Texas-Arlington,03/02/2011,95,83,Home,,,889
26172,1004,Central Ark.,03/05/2011,76,69,Away,,,2231
2,30088,Tex. Permian Basin,11/12/2010,80,79,Home,,,768
2,1045,Dallas Baptist,11/15/2010,86,90,Away,,,650
2,,Dallas Christian,11/22/2010,72,68,Home,,,300
2,30088,Tex. Permian Basin,12/01/2010,81,95,Away,,,250
2,199,Tex. A&M-Commerce,12/04/2010,88,86,Home,,,324
2,12810,Northeastern St.,12/11/2010,63,35,Away,,,400
2,1009,Central Okla.,12/13/2010,53,81,Away,,,500
2,8965,East Central,12/18/2010,69,62,Home,,,213
2,1371,Southeastern Okla.,12/20/2010,73,65,Home,,,247
2,1045,Dallas Baptist,01/03/2011,85,71,Home,,,112
2,8744,Southwestern Okla.,01/06/2011,74,102,Away,,,1000
2,996,Cameron,01/08/2011,67,55,Away,,,215
2,1395,Tarleton St.,01/11/2011,45,64,Home,,,412
2,1222,Midwestern St.,01/15/2011,62,84,Away,,,2102
2,767,West Tex. A&M,01/19/2011,54,71,Away,,,1277
2,696,Tex. A&M-Kingsville,01/22/2011,55,66,Home,,,1032
2,2743,Incarnate Word,01/26/2011,52,56,Away,,,915
2,206,Eastern N.M.,01/29/2011,82,98,Home,,,1012
2,25,Angelo St.,02/05/2011,74,71,Away,,1 OT,1250
2,25,Angelo St.,02/07/2011,74,90,Home,,,547
2,767,West Tex. A&M,02/09/2011,65,77,Home,,,854
2,696,Tex. A&M-Kingsville,02/12/2011,65,71,Away,,,150
2,2743,Incarnate Word,02/15/2011,64,77,Home,,,434
2,206,Eastern N.M.,02/19/2011,77,79,Away,,,312
2,1395,Tarleton St.,02/23/2011,61,82,Away,,,2214
2,1222,Midwestern St.,02/26/2011,73,82,Home,,,784
30123,98,Cal St. East Bay,11/16/2010,65,68,Away,,1 OT,403
30123,112,UC San Diego,11/21/2010,61,81,Away,,,448
30123,728,Upper Iowa,11/26/2010,63,61,Neutral,"St. Paul, MN",,410
30123,9081,Concordia-St. Paul,11/27/2010,67,77,Away,,,390
30123,405,Menlo,12/04/2010,86,75,Home,,,150
30123,30055,Cal St. Monterey Bay,12/08/2010,62,76,Home,,,100
30123,1448,Western Wash.,12/12/2010,80,84,Away,,,408
30123,,Bethany (CA),12/18/2010,86,73,Home,,,100
30123,,Cal Maritime,12/29/2010,69,78,Neutral,"Oakland, CA",,100
30123,,Holy Names,12/30/2010,82,96,Away,,,175
30123,2697,Hawaii Hilo,01/06/2011,64,78,Away,,,251
30123,133,Chaminade,01/08/2011,66,70,Away,,,133
30123,2685,BYU-Hawaii,01/10/2011,62,79,Away,,,912
30123,2696,Hawaii Pacific,01/12/2011,60,78,Away,,,279
30123,30095,Dixie St.,01/17/2011,63,78,Home,,,127
30123,1104,Grand Canyon,01/20/2011,60,58,Home,,,100
30123,2697,Hawaii Hilo,01/25/2011,66,64,Home,,,100
30123,2696,Hawaii Pacific,01/27/2011,64,68,Home,,,400
30123,30118,Dominican (CA),02/03/2011,64,73,Home,,,200
30123,30056,Notre Dame de Namur,02/07/2011,71,74,Away,,,120
30123,1104,Grand Canyon,02/10/2011,62,76,Away,,,1006
30123,30095,Dixie St.,02/12/2011,54,99,Away,,,2281
30123,133,Chaminade,02/17/2011,63,86,Home,,,75
30123,2685,BYU-Hawaii,02/19/2011,64,73,Home,,,200
30123,30118,Dominican (CA),02/25/2011,65,73,Away,,,586
30123,30056,Notre Dame de Namur,03/03/2011,63,73,Home,,,200
929,,Northern N.M.,11/16/2010,89,77,Away,,,325
929,,Tenn. Temple,11/19/2010,88,67,Home,,,1462
929,,Oakwood,11/20/2010,100,64,Home,,,1452
929,2720,Colorado St.-Pueblo,12/03/2010,65,57,Away,,,1870
929,9754,UC-Colo. Springs,12/04/2010,89,82,Away,,,408
929,1083,Fort Lewis,12/11/2010,76,85,Away,,,1039
929,2759,Western St.,12/19/2010,90,74,Home,,,560
929,11416,Colorado Mesa,12/20/2010,77,89,Home,,,729
929,1156,Neb.-Kearney,01/02/2011,63,56,Away,,,1052
929,1012,Chadron St.,01/03/2011,72,55,Away,,,133
929,1445,Western N.M.,01/07/2011,103,96,Home,,,911
929,8577,N.M. Highlands,01/08/2011,96,84,Home,,,987
929,155,Colorado Mines,01/14/2011,69,77,Away,,,757
929,11403,Colo. Christian,01/15/2011,77,65,Away,,,564
929,568,Regis (CO),01/21/2011,86,53,Home,,,1552
929,413,Metro St.,01/22/2011,59,54,Home,,,1764
929,1083,Fort Lewis,01/29/2011,75,78,Home,,,1983
929,,Johnson & Wales (CO),01/30/2011,81,66,Home,,,712
929,8577,N.M. Highlands,02/04/2011,81,90,Away,,,2100
929,1445,Western N.M.,02/05/2011,76,85,Away,,,376
929,9754,UC-Colo. Springs,02/11/2011,83,69,Home,,,1102
929,2720,Colorado St.-Pueblo,02/12/2011,71,62,Home,,,1405
929,11403,Colo. Christian,02/18/2011,85,80,Home,,,1355
929,155,Colorado Mines,02/19/2011,78,71,Home,,,2165
929,11416,Colorado Mesa,02/25/2011,68,65,Away,,1 OT,1078
929,2759,Western St.,02/26/2011,96,98,Away,,1 OT,413
929,8577,N.M. Highlands,03/01/2011,106,98,Home,,2 OT,800
929,155,Colorado Mines,03/04/2011,62,69,Neutral,"Pueblo, CO",,1830
929,155,Colorado Mines,03/12/2011,59,62,Neutral,"Mankato, MN",,184
3,533,Pace,11/17/2010,90,59,Home,,,435
3,437,Molloy,11/19/2010,62,46,Away,,,395
3,241,Franklin Pierce,11/20/2010,83,73,Neutral,"Rockville Centre, NY",,283
3,1347,Saint Rose,11/23/2010,74,78,Away,,,382
3,36,Assumption,11/28/2010,76,74,Home,,,203
3,658,Southern Conn. St.,12/01/2010,52,68,Home,,,302
3,22,American Int'l,12/04/2010,50,61,Away,,,342
3,470,New Haven,12/07/2010,62,47,Home,,,347
3,437,Molloy,12/18/2010,69,48,Home,,,303
3,2692,Dowling,12/19/2010,70,45,Home,,,227
3,349,Le Moyne,01/02/2011,88,84,Away,,,171
3,468,Southern N.H.,01/05/2011,60,58,Away,,,224
3,593,St. Anselm,01/08/2011,67,71,Home,,,256
3,368,Mass.-Lowell,01/13/2011,55,60,Away,,,107
3,410,Merrimack,01/15/2011,58,57,Home,,,347
3,56,Bentley,01/19/2011,54,64,Home,,,373
3,682,Stonehill,01/22/2011,64,67,Away,,,684
3,241,Franklin Pierce,01/25/2011,69,53,Home,,,412
3,613,Saint Michael's,01/29/2011,53,60,Away,,,371
3,533,Pace,02/02/2011,58,53,Away,,,325
3,349,Le Moyne,02/05/2011,69,49,Home,,,418
3,1347,Saint Rose,02/09/2011,62,75,Home,,,429
3,36,Assumption,02/12/2011,75,65,Away,,,612
3,658,Southern Conn. St.,02/16/2011,85,68,Away,,,622
3,22,American Int'l,02/19/2011,69,63,Home,,,517
3,470,New Haven,02/23/2011,71,73,Away,,,312
3,658,Southern Conn. St.,02/26/2011,79,70,Home,,,462
3,22,American Int'l,02/28/2011,55,52,Away,,,488
3,368,Mass.-Lowell,03/03/2011,71,60,Away,,,370
3,56,Bentley,03/05/2011,78,72,Away,,,683
3,682,Stonehill,03/12/2011,64,73,Neutral,"Waltham, MA",,278
4,783,Widener,11/19/2010,47,62,Away,,,265
4,762,Wentworth Inst.,11/20/2010,54,43,Neutral,"Chester, PA",,195
4,,Siena Heights,11/23/2010,65,71,Away,,,1150
4,,Mich.-Dearborn,11/27/2010,60,70,Home,,,125
4,1335,St. Francis (IL),11/30/2010,61,52,Home,,,238
4,,Notre Dame (NH),12/04/2010,68,62,Home,,1 OT,359
4,1050,Defiance,12/15/2010,51,67,Away,,,467
4,424,Millikin,12/18/2010,47,29,Home,,,102
4,,Spring Arbor,12/29/2010,49,51,Home,,,290
4,492,North Central (IL),12/30/2010,41,35,Home,,,175
4,326,Kalamazoo,01/05/2011,62,48,Home,,,226
4,525,Olivet,01/08/2011,51,53,Away,,,395
4,15,Albion,01/12/2011,69,63,Away,,,186
4,114,Calvin,01/15/2011,69,59,Home,,,400
4,286,Hope,01/19/2011,63,70,Away,,,2415
4,21,Alma,01/22/2011,81,42,Home,,,409
4,30037,Trine,01/26/2011,58,53,Away,,,127
4,326,Kalamazoo,01/29/2011,64,73,Away,,,573
4,525,Olivet,02/03/2011,38,45,Home,,,190
4,15,Albion,02/05/2011,57,66,Home,,,400
4,114,Calvin,02/09/2011,75,63,Away,,,942
4,286,Hope,02/12/2011,55,59,Home,,,516
4,21,Alma,02/16/2011,53,54,Away,,,137
4,30037,Trine,02/19/2011,72,63,Home,,,605
4,525,Olivet,02/23/2011,67,64,Away,,2 OT,505
4,286,Hope,02/25/2011,45,63,Away,,,3205
721,9754,UC-Colo. Springs,11/14/2010,66,53,Home,,,1103
721,154,Colorado Col.,11/17/2010,57,60,Home,,1 OT,1007
721,691,Tennessee St.,11/20/2010,87,72,Home,,,1378
721,2915,Wofford,11/24/2010,72,66,Away,,1 OT,1526
721,101,Cal St. Northridge,12/02/2010,72,63,Home,,,1021
721,219,Evansville,12/05/2010,57,56,Home,,,1148
721,810,Wright St.,12/08/2010,61,76,Away,,,5542
721,489,N.C. Central,12/11/2010,73,56,Home,,,1107
721,2678,Ark.-Pine Bluff,12/18/2010,63,52,Home,,,1249
721,501,Northern Ariz.,12/22/2010,63,74,Away,,,447
721,624,Sam Houston St.,12/28/2010,76,65,Neutral,"El Paso, TX",,6010
721,704,UTEP,12/29/2010,54,71,Away,,,7234
721,228,Florida A&M,01/02/2011,81,48,Home,,,1157
721,732,Utah,01/05/2011,77,69,Home,,,1362
721,77,BYU,01/08/2011,66,76,Away,,,22700
721,465,UNLV,01/15/2011,52,64,Home,,,3031
721,626,San Diego St.,01/19/2011,55,68,Away,,,12414
721,811,Wyoming,01/22/2011,72,51,Home,,,3904
721,156,Colorado St.,01/26/2011,66,69,Away,,,4150
721,698,TCU,01/29/2011,66,65,Away,,1 OT,4969
721,473,New Mexico,02/01/2011,61,75,Home,,,2296
721,732,Utah,02/05/2011,54,49,Away,,,8890
721,77,BYU,02/09/2011,52,90,Home,,,6028
721,465,UNLV,02/15/2011,42,49,Away,,,10928
721,626,San Diego St.,02/19/2011,58,70,Home,,,3463
721,811,Wyoming,02/23/2011,61,63,Away,,,4262
721,156,Colorado St.,02/26/2011,74,57,Home,,,4429
721,698,TCU,03/02/2011,70,65,Home,,,1707
721,473,New Mexico,03/05/2011,61,66,Away,,,15344
721,465,UNLV,03/10/2011,53,69,Away,,,12325
721,494,North Dakota,03/15/2011,77,67,Home,,,1137
721,631,Santa Clara,03/18/2011,75,88,Away,,,1236
5,424,Millikin,11/12/2010,89,41,Home,,,2932
5,175,Dayton,11/16/2010,68,76,Away,,,12377
5,817,Youngstown St.,11/20/2010,91,84,Home,,1 OT,2527
5,148,Cleveland St.,11/24/2010,51,64,Home,,,2716
5,184,Detroit,12/01/2010,77,69,Away,,,1631
5,302,Ill.-Chicago,12/04/2010,54,52,Away,,,3614
5,690,Temple,12/12/2010,47,82,Away,,,3834
5,428,Minnesota,12/15/2010,58,66,Away,,,11237
5,61,Bethune-Cookman,12/18/2010,77,66,Home,,1 OT,1900
5,32,UALR,12/21/2010,75,61,Neutral,"Las Vegas, NV",,1180
5,678,Stetson,12/22/2010,72,56,Neutral,"Las Vegas, NV",,1095
5,415,Miami (FL),12/23/2010,61,69,Neutral,"Las Vegas, NV",,500
5,2678,Ark.-Pine Bluff,12/29/2010,87,60,Home,,,2138
5,527,Oral Roberts,01/03/2011,84,80,Home,,,1920
5,331,Kent St.,01/08/2011,65,62,Home,,,5019
5,519,Ohio,01/12/2011,70,79,Home,,,2865
5,86,Buffalo,01/16/2011,70,73,Away,,,1679
5,414,Miami (OH),01/19/2011,76,84,Away,,,1741
5,71,Bowling Green,01/22/2011,63,58,Home,,,3616
5,503,Northern Ill.,01/26/2011,74,83,Away,,,771
5,129,Central Mich.,01/30/2011,63,43,Home,,,2590
5,204,Eastern Mich.,02/02/2011,56,60,Away,,,424
5,709,Toledo,02/05/2011,59,41,Away,,,4467
5,774,Western Mich.,02/09/2011,83,71,Home,,,2826
5,47,Ball St.,02/12/2011,75,60,Home,,,3401
5,71,Bowling Green,02/15/2011,89,54,Away,,,1445
5,169,Creighton,02/19/2011,76,67,Home,,,2861
5,414,Miami (OH),02/23/2011,72,55,Home,,,2700
5,86,Buffalo,02/26/2011,69,60,Home,,,3688
5,519,Ohio,03/01/2011,55,80,Away,,,8630
5,331,Kent St.,03/04/2011,68,79,Away,,,6327
5,204,Eastern Mich.,03/08/2011,67,53,Home,,,1431
5,414,Miami (OH),03/10/2011,82,75,Neutral,"Cleveland, OH",,3311
5,774,Western Mich.,03/11/2011,79,68,Neutral,"Cleveland, OH",,5153
5,331,Kent St.,03/12/2011,66,65,Neutral,"Cleveland, OH",1 OT,8926
5,513,Notre Dame,03/18/2011,56,69,Neutral,"Chicago, IL",,17352
10,233,Fla. Southern,11/12/2010,87,82,Neutral,"Valdosta, GA",,534
10,208,Eckerd,11/13/2010,73,62,Neutral,"Valdosta, GA",,147
10,159,Columbus St.,11/15/2010,96,66,Home,,,1239
10,1289,Ouachita Baptist,11/17/2010,74,39,Away,,,325
10,1123,Henderson St.,11/19/2010,92,72,Away,,,490
10,181,Delta St.,11/27/2010,102,68,Home,,,1105
10,1015,Christian Bros.,11/29/2010,69,61,Home,,,1063
10,24639,Nova Southeastern,12/03/2010,85,79,Neutral,"Valdosta, GA",,184
10,20794,Lynn,12/04/2010,77,85,Neutral,"Valdosta, GA",,139
10,159,Columbus St.,12/07/2010,58,55,Away,,,1086
10,947,Arkansas Tech,12/16/2010,83,76,Away,,,610
10,1116,Harding,12/17/2010,74,72,Away,,,782
10,1376,Southern Ark.,01/02/2011,46,49,Home,,,1418
10,8411,Ark.-Monticello,01/03/2011,84,55,Home,,,943
10,1278,Oakland City,01/08/2011,81,58,Home,,,1196
10,11740,West Fla.,01/13/2011,82,57,Away,,,788
10,734,Valdosta St.,01/15/2011,81,77,Away,,2 OT,1918
10,766,West Ga.,01/20/2011,72,58,Home,,,1127
10,358,West Ala.,01/22/2011,69,49,Home,,,1615
10,,Lambuth,01/27/2011,76,74,Away,,,422
10,487,North Ala.,02/03/2011,81,61,Away,,,1575
10,11740,West Fla.,02/05/2011,77,64,Home,,,1802
10,734,Valdosta St.,02/07/2011,82,64,Home,,,1360
10,358,West Ala.,02/12/2011,84,71,Away,,,297
10,766,West Ga.,02/17/2011,69,77,Away,,,2756
10,1278,Oakland City,02/19/2011,88,60,Away,,,987
10,,Lambuth,02/24/2011,73,65,Home,,,1166
10,487,North Ala.,02/26/2011,83,76,Home,,,2304
10,8411,Ark.-Monticello,03/04/2011,79,75,Neutral,"Southaven, MS",,610
10,1116,Harding,03/05/2011,51,82,Neutral,"Southaven, MS",,500
10,144,Clark Atlanta,03/12/2011,77,63,Home,,,1392
10,947,Arkansas Tech,03/13/2011,74,71,Home,,1 OT,1977
10,680,Stillman,03/15/2011,88,81,Home,,,2563
10,383,Minn. St. Mankato,03/23/2011,91,95,Neutral,"Springfield, MA",1 OT,2164
8,228,Florida A&M,11/12/2010,76,37,Home,,,10313
8,716,Troy,11/15/2010,79,60,Home,,,8939
8,635,Seton Hall,11/19/2010,78,83,Neutral,"St. Thomas, V.I.",,3365
8,312,Iowa,11/20/2010,47,55,Neutral,"St. Thomas, V.I.",,2348
8,617,Saint Peter's,11/22/2010,49,50,Neutral,"St. Thomas, V.I.",,3893
8,6,Alabama A&M,11/27/2010,76,50,Home,,,10746
8,646,South Ala.,12/01/2010,72,50,Home,,,9553
8,559,Purdue,12/04/2010,47,66,Away,,,14123
8,556,Providence,12/11/2010,70,82,Away,,,8056
8,655,Southeastern La.,12/15/2010,59,38,Home,,,8178
8,521,Oklahoma St.,12/18/2010,60,68,Neutral,"Oklahoma City, OK",,10625
8,28600,Lipscomb,12/21/2010,71,51,Home,,,8889
8,541,Pepperdine,12/28/2010,83,60,Home,,,9139
8,709,Toledo,01/03/2011,83,41,Home,,,8245
8,430,Mississippi St.,01/08/2011,75,57,Away,,,7121
8,648,South Carolina,01/12/2011,57,47,Home,,,11572
8,31,Arkansas,01/15/2011,65,70,Away,,,13033
8,334,Kentucky,01/18/2011,68,66,Home,,,14859
8,37,Auburn,01/22/2011,68,58,Away,,,9121
8,365,LSU,01/29/2011,70,46,Home,,,15383
8,430,Mississippi St.,02/02/2011,75,61,Home,,,10771
8,694,Tennessee,02/05/2011,65,60,Away,,1 OT,21948
8,736,Vanderbilt,02/10/2011,77,81,Away,,,14316
8,433,Ole Miss,02/12/2011,74,64,Home,,,15383
8,365,LSU,02/17/2011,67,56,Away,,,7830
8,31,Arkansas,02/19/2011,69,56,Home,,,15383
8,37,Auburn,02/23/2011,51,49,Home,,,15383
8,433,Ole Miss,02/26/2011,63,68,Away,,,7903
8,235,Florida,03/01/2011,51,78,Away,,,12225
8,257,Georgia,03/05/2011,65,57,Home,,,15383
8,257,Georgia,03/11/2011,65,59,Neutral,"Atlanta, GA",1 OT,21875
8,334,Kentucky,03/12/2011,58,72,Neutral,"Atlanta, GA",,21728
8,149,Coastal Caro.,03/15/2011,68,44,Home,,,5116
8,473,New Mexico,03/21/2011,74,67,Home,,,6821
8,415,Miami (FL),03/23/2011,79,64,Home,,,8612
8,157,Colorado,03/29/2011,62,61,Neutral,"New York, NY",,6082
8,782,Wichita St.,03/31/2011,57,66,Neutral,"New York, NY",,4873
6,,Talladega,11/13/2010,93,77,Home,,,1185
6,772,Western Ky.,11/15/2010,61,83,Away,,,4510
6,720,Tuskegee,11/20/2010,70,67,Home,,,2532
6,8,Alabama,11/27/2010,50,76,Away,,,10746
6,,Martin Methodist,12/04/2010,75,70,Home,,,1265
6,691,Tennessee St.,12/07/2010,68,74,Home,,,1322
6,782,Wichita St.,12/13/2010,49,71,Away,,,10173
6,9,UAB,12/19/2010,40,58,Away,,,3891
6,490,North Carolina St.,12/28/2010,51,82,Away,,,9519
6,261,Grambling,01/04/2011,70,63,Home,,,516
6,314,Jackson St.,01/06/2011,55,57,Home,,,586
6,432,Mississippi Val.,01/08/2011,72,60,Away,,,993
6,2678,Ark.-Pine Bluff,01/10/2011,53,61,Away,,,2248
6,7,Alabama St.,01/15/2011,75,60,Home,,,4368
6,17,Alcorn St.,01/22/2011,64,55,Home,,,1463
6,665,Southern U.,01/24/2011,68,58,Home,,,1583
6,699,Texas Southern,01/29/2011,61,65,Away,,,1103
6,553,Prairie View,01/31/2011,62,53,Away,,,2722
6,432,Mississippi Val.,02/05/2011,60,63,Home,,,1678
6,2678,Ark.-Pine Bluff,02/07/2011,74,52,Home,,,632
6,7,Alabama St.,02/12/2011,68,82,Away,,,6476
6,17,Alcorn St.,02/19/2011,70,68,Away,,,1537
6,665,Southern U.,02/21/2011,64,45,Away,,,545
6,699,Texas Southern,02/26/2011,78,83,Home,,1 OT,1786
6,553,Prairie View,02/28/2011,63,58,Home,,,1856
6,261,Grambling,03/03/2011,69,76,Away,,,1574
6,314,Jackson St.,03/05/2011,64,72,Away,,,978
6,7,Alabama St.,03/10/2011,61,81,Neutral,"Garland, TX",,2397
7,169,Creighton,11/12/2010,57,71,Away,,,15141
7,311,Iowa St.,11/14/2010,47,74,Away,,,12453
7,501,Northern Ariz.,11/16/2010,46,74,Away,"Prescott, AZ",,838
7,1157,Kennesaw St.,11/20/2010,74,59,Home,,,786
7,371,Loyola Chicago,11/22/2010,46,74,Away,,,1438
7,128,UCF,11/27/2010,48,84,Away,,,3660
