player_name,class,season,position,height,g,fg_made,fg_attempts,fg_percent,3pt_made,3pt_attempts,3pt_percent,freethrows_made,freethrows_attempts,freethrows_percent,rebounds_num,rebounds_avg,assists_num,assists_avg,blocks_num,blocks_avg,steals_num,steals_avg,points_num,points_avg,turnovers,dd,td,player_id,year,school_id
"Bailey, Thomas",Fr.,2004-05,,,28,136,255,0.533,32,66,0.485,45,52,0.865,138,4.929,37,1.321,49,1.750,16,0.571,349,12.464,,,,561543,2005,26172
"Bailey, Thomas",Fr.,2004-05,,,28,136,255,0.533,32,66,0.485,45,52,0.865,138,4.929,37,1.321,49,1.750,16,0.571,349,12.464,,,,286664,2005,26172
"Bailey, Travis",Fr.,2004-05,,,27,124,276,0.449,57,138,0.413,49,59,0.831,51,1.889,77,2.852,8,0.296,33,1.222,354,13.111,,,,561544,2005,26172
"Bailey, Travis",Fr.,2004-05,,,27,124,276,0.449,57,138,0.413,49,59,0.831,51,1.889,77,2.852,8,0.296,33,1.222,354,13.111,,,,286665,2005,26172
"Daniels, Chris",So.,2004-05,C,84,26,53,97,0.546,0,2,0.000,33,47,0.702,83,3.192,3,0.115,26,1.000,2,0.077,139,5.346,,,,540036,2005,26172
"Djordjevic, Alex",Jr.,2004-05,G,76,6,4,7,0.571,1,2,0.500,0,1,0.000,3,0.500,1,0.167,0,,1,0.167,9,1.500,,,,450638,2005,26172
"Engelken, Seth",So.,2004-05,F,79,28,49,95,0.516,19,43,0.442,24,37,0.649,62,2.214,43,1.536,4,0.143,12,0.429,141,5.036,,,,450637,2005,26172
"Ervin, Josh",So.,2004-05,G,73,28,35,78,0.449,14,27,0.519,37,51,0.725,55,1.964,64,2.286,3,0.107,19,0.679,121,4.321,,,,450635,2005,26172
"Holt, Jared",Jr.,2004-05,C,86,,,,,,,,,,,,,,,,,,,,,,,,450639,2005,26172
"Jackson, Nick",Sr.,2004-05,C,81,27,58,110,0.527,0,0,,21,27,0.778,74,2.741,30,1.111,9,0.333,15,0.556,137,5.074,,,,286667,2005,26172
"Lamkin, Corey",Sr.,2004-05,F,78,28,134,221,0.606,1,2,0.500,96,129,0.744,218,7.786,30,1.071,23,0.821,30,1.071,365,13.036,,,,286670,2005,26172
"Martin, Johnny",Jr.,2004-05,F,78,,,,,,,,,,,,,,,,,,,,,,,,540038,2005,26172
"Mitchell, Taurean",So.,2004-05,G,73,28,53,114,0.465,6,25,0.240,38,52,0.731,57,2.036,118,4.214,4,0.143,38,1.357,150,5.357,,,,450636,2005,26172
"Muriel, Jeff",Fr.,2004-05,G,73,18,9,36,0.250,1,10,0.100,1,2,0.500,17,0.944,16,0.889,2,0.111,7,0.389,20,1.111,,,,540035,2005,26172
"Nelson, Carl",Fr.,2004-05,C,82,,,,,,,,,,,,,,,,,,,,,,,,540037,2005,26172
"Stokes, Corey",Sr.,2004-05,G,75,28,71,162,0.438,11,38,0.289,40,53,0.755,99,3.536,68,2.429,0,,12,0.429,193,6.893,,,,450634,2005,26172
"White, Aaron",Jr.,2004-05,G,72,27,42,102,0.412,24,66,0.364,16,24,0.667,32,1.185,27,1.000,1,0.037,13,0.481,124,4.593,,,,286668,2005,26172
"Baxter, David",Sr.,2004-05,G,75,27,167,432,0.387,94,267,0.352,114,141,0.809,92,3.407,99,3.667,5,0.185,47,1.741,542,20.074,,,,450682,2005,2
"Brown, Tony",So.,2004-05,C,79,,,,,,,,,,,,,,,,,,,,,,,,553682,2005,2
"Carr, Joe",Jr.,2004-05,G,67,21,55,155,0.355,25,77,0.325,34,45,0.756,45,2.143,108,5.143,2,0.095,47,2.238,169,8.048,,,,553683,2005,2
"Farr, Chris",Fr.,2004-05,C,79,19,7,17,0.412,0,0,,3,11,0.273,24,1.263,2,0.105,2,0.105,5,0.263,17,0.895,,,,450683,2005,2
"Gill, Dionte",Jr.,2004-05,G,75,3,9,21,0.429,3,9,0.333,1,2,0.500,13,4.333,5,1.667,2,0.667,3,1.000,22,7.333,,,,553684,2005,2
"Krieg, Matthias",Sr.,2004-05,C,81,27,76,134,0.567,1,1,1.000,51,82,0.622,118,4.370,16,0.593,12,0.444,9,0.333,204,7.556,,,,450688,2005,2
"Lehman, Brody",So.,2004-05,F,78,,,,,,,,,,,,,,,,,,,,,,,,553685,2005,2
"Lombard, Gabe",Jr.,2004-05,G,70,27,17,36,0.472,6,14,0.429,15,17,0.882,65,2.407,50,1.852,0,,17,0.630,55,2.037,,,,450681,2005,2
"Malone, Justin",Fr.,2004-05,G,78,,,,,,,,,,,,,,,,,,,,,,,,553686,2005,2
"Matai, Mauro",Jr.,2004-05,F,77,27,50,93,0.538,0,0,,36,68,0.529,138,5.111,8,0.296,10,0.370,22,0.815,136,5.037,,,,450689,2005,2
"Pinckney, Justin",Fr.,2004-05,G,74,,,,,,,,,,,,,,,,,,,,,,,,553687,2005,2
"Porterfield, Aj",Fr.,2004-05,,,27,30,84,0.357,16,54,0.296,12,21,0.571,60,2.222,38,1.407,6,0.222,15,0.556,88,3.259,,,,293083,2005,2
"Rasul, Hakim",Jr.,2004-05,F,78,25,246,474,0.519,8,32,0.250,149,209,0.713,238,9.520,35,1.400,42,1.680,23,0.920,649,25.960,,,,553688,2005,2
"Scott, Adrian",Sr.,2004-05,G,76,24,35,74,0.473,1,8,0.125,30,44,0.682,53,2.208,5,0.208,5,0.208,4,0.167,101,4.208,,,,450687,2005,2
"Stephen, Josh",Fr.,2004-05,G,77,26,28,58,0.483,13,31,0.419,5,10,0.500,48,1.846,13,0.500,1,0.038,11,0.423,74,2.846,,,,450684,2005,2
"Sutherland, Matt",Jr.,2004-05,G,71,26,24,62,0.387,18,50,0.360,4,8,0.500,35,1.346,32,1.231,2,0.077,17,0.654,70,2.692,,,,450685,2005,2
"Baker, Greg",Jr.,2004-05,G,76,27,88,214,0.411,19,72,0.264,36,52,0.692,99,3.667,59,2.185,8,0.296,24,0.889,231,8.556,,,,558709,2005,929
"Bicknell, Tom",Fr.,2004-05,F,80,24,10,25,0.400,0,0,,8,13,0.615,33,1.375,4,0.167,2,0.083,4,0.167,28,1.167,,,,636958,2005,929
"Charles, Larry",Fr.,2004-05,G,72,27,84,199,0.422,14,50,0.280,68,133,0.511,100,3.704,92,3.407,3,0.111,53,1.963,250,9.259,,,,441329,2005,929
"Crevelone, Chris",So.,2004-05,F,78,23,25,54,0.463,0,0,,6,16,0.375,98,4.261,10,0.435,8,0.348,9,0.391,56,2.435,,,,558711,2005,929
"Hull, David",So.,2004-05,G,75,21,107,259,0.413,37,126,0.294,41,52,0.788,36,1.714,41,1.952,3,0.143,14,0.667,292,13.905,,,,441321,2005,929
"Jackson, Kyle",Jr.,2004-05,F,77,26,37,81,0.457,1,7,0.143,7,14,0.500,91,3.500,22,0.846,4,0.154,14,0.538,82,3.154,,,,558707,2005,929
"McCarroll, Kevin",Fr.,2004-05,G,75,22,12,50,0.240,0,9,0.000,11,19,0.579,36,1.636,15,0.682,2,0.091,14,0.636,35,1.591,,,,558706,2005,929
"Mincey, Richard",So.,2004-05,G,76,27,89,219,0.406,39,107,0.364,19,31,0.613,134,4.963,36,1.333,2,0.074,17,0.630,236,8.741,,,,441326,2005,929
"Mitchell, David",Sr.,2004-05,F,80,27,145,257,0.564,0,3,0.000,120,162,0.741,130,4.815,32,1.185,7,0.259,20,0.741,410,15.185,,,,75560,2005,929
"Mortensen, Marcus",Fr.,2004-05,G,73,19,25,65,0.385,14,41,0.341,18,23,0.783,52,2.737,46,2.421,1,0.053,20,1.053,82,4.316,,,,1088012,2005,929
"Price, Kevin",Fr.,2004-05,F,81,2,3,4,0.750,2,2,1.000,0,0,,1,0.500,0,,0,,0,,8,4.000,,,,1087987,2005,929
"Wilson, Kyle",So.,2004-05,F,81,24,24,48,0.500,0,2,0.000,6,10,0.600,66,2.750,6,0.250,7,0.292,11,0.458,54,2.250,,,,1088011,2005,929
"Blaize, Kimani",So.,2004-05,G,72,29,115,294,0.391,70,175,0.400,51,65,0.785,110,3.793,46,1.586,10,0.345,55,1.897,351,12.103,,,,442996,2005,3
"Cummings, Aaron",Jr.,2004-05,G,68,22,42,134,0.313,10,39,0.256,54,76,0.711,99,4.500,113,5.136,1,0.045,29,1.318,148,6.727,,,,526403,2005,3
"El Zanaty, Mustafa",So.,2004-05,G,75,15,2,9,0.222,1,4,0.250,4,4,1.000,6,0.400,2,0.133,0,,1,0.067,9,0.600,,,,526404,2005,3
"Horne, Keshaun",So.,2004-05,G,73,28,13,32,0.406,4,8,0.500,10,14,0.714,21,0.750,12,0.429,1,0.036,8,0.286,40,1.429,,,,442994,2005,3
"Jenkins, Samuel",So.,2004-05,G,74,29,42,134,0.313,17,70,0.243,47,63,0.746,78,2.690,13,0.448,3,0.103,26,0.897,148,5.103,,,,442992,2005,3
"Kenyon, Ben",Jr.,2004-05,G,74,29,49,124,0.395,2,9,0.222,22,40,0.550,74,2.552,21,0.724,2,0.069,13,0.448,122,4.207,,,,283272,2005,3
"Martin, Eric",Jr.,2004-05,F,78,29,122,255,0.478,0,1,0.000,74,129,0.574,169,5.828,32,1.103,10,0.345,30,1.034,318,10.966,,,,283274,2005,3
"Mosby, Mike",So.,2004-05,F,78,28,42,87,0.483,0,0,,28,51,0.549,114,4.071,3,0.107,6,0.214,18,0.643,112,4.000,,,,442998,2005,3
"Natoli, Ian",Fr.,2004-05,G,71,2,0,0,,0,0,,0,0,,1,0.500,0,,0,,0,,0,,,,,526405,2005,3
"Paul, Thomas",So.,2004-05,G,73,19,5,19,0.263,2,10,0.200,7,7,1.000,24,1.263,24,1.263,2,0.105,11,0.579,19,1.000,,,,442993,2005,3
"Samuels, James",Sr.,2004-05,F,76,29,124,310,0.400,28,86,0.326,61,97,0.629,167,5.759,43,1.483,18,0.621,24,0.828,337,11.621,,,,526406,2005,3
"Smith, Will",Jr.,2004-05,G,75,,,,,,,,,,,,,,,,,,,,,,,,283273,2005,3
"Wagner, Jamaal",Jr.,2004-05,F,76,28,79,231,0.342,33,105,0.314,44,70,0.629,140,5.000,28,1.000,2,0.071,29,1.036,235,8.393,,,,283271,2005,3
"Bohlen, Mark",Jr.,2004-05,F,77,24,34,83,0.410,7,30,0.233,6,14,0.429,60,2.500,16,0.667,22,0.917,10,0.417,81,3.375,,,,294208,2005,4
